Pclass,Sex,Age,Fare,Cabin,Embarked,CabinKnown,Title,Family
2,1,32,2,7,2,0,1,0
3,1,18,2,7,2,0,1,0
3,0,22,2,7,1,0,2,0
1,1,13,2,1,0,1,4,4
2,0,-11,1,7,2,0,3,0
3,0,18,1,7,1,0,2,0
1,1,47,0,7,2,0,1,0
1,1,31,0,2,0,1,1,0
1,0,60,0,2,2,1,3,5
3,0,24,1,7,1,0,2,0
3,1,21,2,7,2,0,1,0
3,0,29,2,7,2,0,2,0
1,1,28,1,3,0,1,1,0
1,0,35,2,2,0,1,2,0
1,1,32,0,2,0,1,1,0
3,1,-9,0,7,2,0,1,0
1,0,55,0,2,2,1,3,2
2,1,30,2,7,2,0,1,0
3,0,24,1,7,1,0,2,0
3,1,6,0,7,0,0,4,2
1,1,67,1,2,2,1,1,1
1,1,49,0,7,2,0,1,0
3,1,7,2,7,2,0,1,0
2,1,18,1,7,1,0,1,0
3,1,-4,1,7,0,0,1,1
3,0,27,2,7,1,0,2,0
3,0,18,0,7,2,0,2,0
3,0,24,2,7,1,0,2,0
2,1,2,0,7,2,0,4,2
3,0,22,0,7,2,0,3,1
3,1,64,0,7,2,0,1,0
1,0,27,2,1,2,1,3,3
3,1,14,1,7,2,0,1,0
1,1,25,0,7,0,0,1,0
3,1,25,0,7,2,0,1,0
1,0,76,2,2,2,1,3,1
3,1,29,2,7,2,0,1,0
3,0,20,1,7,2,0,2,0
3,1,33,1,7,2,0,1,0
1,0,43,0,2,0,1,3,1
2,1,27,0,7,2,0,1,1
3,1,44,2,7,1,0,1,0
3,1,26,0,7,2,0,1,0
3,0,16,0,7,0,0,3,2
3,1,28,0,7,2,0,1,0
3,1,21,0,7,1,0,1,0
3,1,0,0,7,1,0,1,0
3,1,31,0,7,2,0,1,0
2,1,18,1,5,2,1,1,0
2,1,41,2,7,0,0,1,0
3,0,-6,1,7,1,0,2,0
1,0,36,0,0,0,1,2,0
3,0,18,1,7,1,0,2,0
1,0,63,1,2,2,1,3,1
3,1,18,0,7,0,0,1,1
3,1,27,0,7,0,0,1,0
3,0,1,1,6,2,1,2,2
1,1,36,2,2,0,1,1,0
2,0,29,2,7,2,0,3,1
2,0,12,2,7,2,0,2,0
3,1,7,0,7,1,0,1,1
1,0,35,2,2,0,1,3,1
3,1,28,1,7,2,0,1,0
3,1,29,2,7,1,0,1,0
3,0,17,1,7,2,0,2,1
3,1,22,0,7,2,0,1,0
3,0,5,0,7,1,0,2,2
2,1,42,1,7,2,0,1,0
3,1,24,0,7,2,0,1,0
3,1,32,0,7,2,0,1,0
1,1,53,0,2,0,1,5,0
3,0,57,1,7,2,0,3,4
3,1,53,1,7,0,0,1,1
3,1,43,1,7,2,0,1,0
3,1,24,1,7,2,0,1,0
3,1,26,2,7,0,0,1,0
2,1,26,2,7,2,0,1,0
3,0,23,1,7,2,0,2,0
3,1,40,2,7,2,0,1,7
3,0,10,1,7,2,0,2,7
1,0,33,0,7,2,0,2,0
1,1,61,1,1,0,1,1,4
2,1,28,0,7,2,0,1,0
1,1,42,1,7,2,0,1,0
3,1,31,2,7,2,0,1,3
1,1,71,0,4,2,1,1,0
3,1,22,2,7,2,0,1,0
1,1,24,1,7,2,0,1,0
2,1,30,1,7,2,0,5,2
1,0,23,1,2,0,1,3,1
3,1,60,2,7,0,0,1,0
3,1,60,0,7,2,0,1,0
3,0,36,1,7,2,0,3,2
3,1,13,0,7,2,0,4,6
3,1,24,2,7,2,0,1,0
1,0,29,0,2,2,1,2,0
3,0,23,0,7,2,0,2,0
1,1,42,0,3,2,1,1,0
3,0,26,2,7,2,0,3,2
3,0,40,1,7,1,0,2,0
3,1,7,1,7,0,0,4,2
2,0,26,0,7,2,0,2,0
3,1,42,0,7,2,0,1,0
2,1,41,2,7,2,0,5,0
3,0,26,1,7,2,0,3,2
1,1,48,2,1,0,1,1,0
3,1,18,2,7,2,0,1,4
1,0,-11,1,7,0,0,3,0
3,0,22,2,7,2,0,2,0
3,1,27,2,7,2,0,1,0
3,1,27,2,7,0,0,1,0
3,1,23,1,7,2,0,1,1
3,1,65,0,7,0,0,1,0
3,1,40,2,7,2,0,1,6
2,0,15,0,7,2,0,2,2
2,0,20,1,7,2,0,2,0
1,1,54,2,2,0,1,1,1
2,0,36,1,5,2,1,3,3
1,0,64,1,4,0,1,3,2
2,1,30,2,7,2,0,1,0
1,1,37,1,4,0,1,1,2
1,0,18,2,3,2,1,3,1
3,1,-7,2,7,1,0,1,0
1,0,27,1,1,0,1,3,2
2,1,40,2,7,2,0,1,0
2,0,21,1,7,2,0,2,1
3,1,17,2,7,2,0,1,2
3,0,-7,1,7,2,0,2,10
2,1,40,0,7,2,0,1,0
2,1,34,1,7,2,0,1,1
1,1,34,1,7,2,0,1,0
3,1,11,0,7,2,0,4,2
2,1,61,1,7,1,0,1,0
2,1,8,2,7,2,0,4,2
3,1,33,2,7,2,0,1,0
1,1,6,0,4,0,1,4,2
3,0,18,0,7,2,0,2,0
2,1,23,0,7,2,0,1,0
3,0,66,1,7,2,0,3,0
3,0,-4,1,7,1,0,2,0
3,1,0,2,7,2,0,4,2
1,1,47,0,2,0,1,5,1
2,0,8,0,7,2,0,2,2
2,1,25,0,7,2,0,1,0
1,1,20,1,7,0,0,1,0
3,0,35,1,7,1,0,2,0
2,1,24,1,7,2,0,1,0
1,0,33,0,0,0,1,2,0
3,1,25,2,7,2,0,1,0
3,1,32,0,7,2,0,1,0
3,1,55,1,7,2,0,1,0
2,1,17,0,7,2,0,1,0
2,0,60,1,7,2,0,3,1
3,0,38,0,7,2,0,2,6
1,1,42,2,1,2,1,1,0
3,0,60,0,7,1,0,2,0
1,1,57,2,7,2,0,1,2
1,0,50,2,2,0,1,3,2
3,1,61,1,7,2,0,1,0
2,0,30,0,7,0,0,2,1
3,1,21,1,7,2,0,1,0
2,0,22,0,5,2,1,3,0
3,1,21,0,7,2,0,1,0
1,0,53,2,7,0,0,3,0
3,0,33,1,7,0,0,3,2
3,1,23,1,7,2,0,1,0
3,0,69,0,7,1,0,2,0
3,1,40,1,7,2,0,1,0
2,1,36,1,7,2,0,1,0
2,1,14,2,7,2,0,1,0
1,0,21,0,7,2,0,2,0
3,1,21,1,7,2,0,1,1
3,1,28,2,7,1,0,1,0
1,1,39,1,2,0,1,1,1
3,1,20,0,7,2,0,1,0
1,1,64,1,3,0,1,1,1
3,1,20,2,7,0,0,1,0
2,0,18,1,7,2,0,2,2
1,0,48,1,2,0,1,3,1
1,0,55,1,7,0,0,3,0
2,0,45,1,7,2,0,3,2
1,1,45,1,4,0,1,1,2
3,1,36,0,7,2,0,1,0
3,1,31,0,7,2,0,4,3
1,1,41,2,3,2,1,1,1
2,0,22,0,7,2,0,3,0
2,1,42,1,7,2,0,1,2
2,0,29,2,7,2,0,3,1
3,0,36,1,7,0,0,3,1
2,0,0,0,7,2,0,2,3
3,1,20,1,7,2,0,1,0
1,1,27,2,2,0,1,1,1
3,1,24,1,7,2,0,1,0
3,1,32,1,7,2,0,1,0
3,1,-8,1,7,2,0,1,0
3,1,58,2,7,1,0,1,0
3,1,28,2,7,2,0,1,0
2,0,19,2,7,2,0,2,0
3,1,21,1,7,2,0,1,0
3,1,36,0,7,2,0,1,1
3,1,21,2,7,2,0,1,0
2,0,29,2,7,2,0,3,2
3,0,1,1,7,2,0,2,2
2,1,30,0,7,0,0,1,0
3,1,19,1,7,2,0,1,0
1,1,57,2,7,2,0,1,0
3,1,61,0,7,2,0,1,0
3,0,19,2,7,2,0,2,0
3,1,17,2,7,2,0,1,0
1,1,46,2,2,0,1,1,0
3,1,25,1,7,1,0,1,0
1,0,26,1,2,0,1,3,1
3,0,0,2,7,1,0,2,1
3,1,36,0,7,0,0,1,0
2,0,20,2,7,2,0,2,1
2,1,28,0,7,2,0,1,0
2,1,40,1,7,2,0,1,1
2,1,30,2,7,2,0,1,1
2,1,22,1,7,2,0,1,0
3,0,23,0,7,2,0,2,0
3,1,0,0,7,2,0,4,2
3,0,28,1,7,1,0,2,0
3,0,9,0,7,0,0,2,2
3,0,2,1,7,2,0,2,2
3,1,36,0,7,2,0,1,0
3,1,61,1,7,2,0,1,0
1,1,24,0,1,2,1,1,1
3,1,-4,1,5,0,1,1,0
3,1,52,0,7,2,0,1,0
1,1,-1,2,7,2,0,1,0
3,0,30,2,7,1,0,2,0
3,1,4,1,7,0,0,1,0
1,1,53,0,0,2,1,5,2
3,1,36,0,7,2,0,1,0
3,1,26,2,7,2,0,1,0
2,0,1,0,7,0,0,2,3
3,1,27,2,7,0,0,1,2
1,1,30,2,7,2,0,1,0
3,1,29,2,7,2,0,1,0
3,1,32,0,7,2,0,1,0
2,1,30,1,3,0,1,1,0
2,1,43,1,7,2,0,1,1
3,1,24,1,7,2,0,1,0
3,0,39,0,7,1,0,2,0
1,0,64,2,1,2,1,3,2
1,1,30,2,2,2,1,1,3
3,1,0,2,7,2,0,4,1
1,1,55,1,1,2,1,1,2
3,0,45,2,7,2,0,3,1
3,1,18,2,7,2,0,1,0
3,1,22,2,7,0,0,1,0
3,1,67,1,7,2,0,1,0
3,0,37,0,7,1,0,2,0
1,0,55,2,2,0,1,3,0
3,0,17,0,7,1,0,2,0
1,1,57,1,1,0,1,1,1
2,1,19,1,7,2,0,1,0
3,1,27,2,7,2,0,1,0
2,1,22,2,7,2,0,1,2
3,1,26,0,7,2,0,1,0
3,1,25,0,5,0,1,1,0
2,1,26,1,5,2,1,1,0
1,1,33,2,7,2,0,1,0
1,0,39,2,7,2,0,2,0
3,1,23,2,7,2,0,1,0
2,0,12,0,5,2,1,2,3
1,1,46,1,7,0,0,1,0
2,1,29,1,7,2,0,1,1
2,1,21,2,7,2,0,1,0
2,0,48,1,7,2,0,3,2
1,1,39,2,0,0,1,1,0
3,1,24,2,7,0,0,1,0
3,0,19,1,7,0,0,3,2
3,1,27,2,7,2,0,1,0
1,1,30,0,2,2,1,1,0
2,1,32,2,7,2,0,1,0
3,1,39,2,7,0,0,1,2
2,1,25,0,7,2,0,1,0
3,1,33,2,7,0,0,4,0
2,1,18,1,7,2,0,1,0
3,1,32,2,7,2,0,1,0
3,1,-1,1,7,2,0,1,10
1,0,58,1,1,0,1,3,1
3,1,14,1,7,2,0,4,2
3,0,16,1,7,2,0,2,0
2,1,26,1,7,2,0,1,0
3,0,38,1,7,0,0,3,0
2,1,24,1,7,2,0,1,0
2,0,31,0,7,2,0,2,0
1,0,45,1,3,0,1,3,1
2,1,25,2,7,2,0,1,0
2,1,18,0,7,2,0,1,0
2,1,49,1,7,2,0,1,3
3,0,0,0,7,2,0,2,3
1,1,50,1,4,2,1,1,0
1,0,59,2,2,2,1,3,2
3,1,8,1,7,2,0,1,0
3,1,67,0,7,1,0,1,0
3,0,30,0,7,2,0,3,1
3,1,14,2,7,2,0,4,10
2,0,24,2,7,0,0,3,2
2,0,31,1,7,2,0,3,0
3,1,27,0,7,2,0,1,0
1,0,25,1,4,0,1,3,1
3,0,51,0,7,2,0,3,10
3,1,0,2,7,0,0,1,1
3,0,22,0,7,2,0,2,0
1,0,45,0,7,0,0,3,1
2,1,29,2,7,0,0,1,0
2,1,21,2,7,2,0,1,1
1,0,31,0,4,0,1,2,0
1,1,49,0,1,2,1,1,0
2,1,44,2,7,2,0,1,0
1,0,54,1,0,2,1,3,2
1,0,45,2,7,0,0,2,0
3,0,22,0,7,2,0,2,2
2,1,21,2,7,2,0,1,0
1,1,55,0,2,2,1,1,0
3,1,5,0,7,2,0,4,6
3,1,31,2,7,1,0,1,0
3,1,26,1,7,1,0,1,0
3,0,-2,0,7,2,0,3,0
3,0,19,2,7,2,0,3,1
2,1,2,0,7,2,0,1,0
2,0,24,2,7,2,0,2,3
3,1,24,2,7,2,0,1,0
2,1,57,1,7,2,0,1,0
3,1,21,0,7,1,0,1,0
3,1,6,1,7,2,0,4,4
1,1,23,2,1,2,1,1,0
1,0,51,0,3,2,1,3,1
3,1,13,0,7,2,0,4,2
2,1,47,2,7,2,0,1,0
3,1,29,1,7,2,0,1,4
1,0,18,0,2,2,1,3,1
3,1,24,0,7,1,0,1,0
1,0,48,1,1,0,1,3,2
3,1,22,1,7,2,0,1,0
3,1,31,1,7,1,0,1,0
1,0,30,0,2,2,1,2,0
2,1,38,0,7,2,0,1,1
1,0,22,1,7,0,0,2,1
1,1,17,1,7,2,0,1,0
1,1,43,0,3,0,1,1,1
2,1,20,1,3,0,1,1,0
2,1,23,0,7,2,0,1,1
1,1,50,1,2,0,1,1,2
3,0,42,0,7,1,0,2,0
3,0,3,1,7,2,0,2,2
3,0,26,0,7,1,0,2,0
1,0,37,0,2,1,1,3,1
3,0,28,2,7,2,0,2,0
3,1,2,1,7,2,0,1,0
1,0,39,0,2,0,1,5,0
3,1,38,0,7,2,0,1,0
3,1,57,2,7,2,0,1,0
3,1,52,1,7,0,0,4,2
